time_sec,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch
3.8,-0.0349066,-1.168598,0.1745329,-1.292886,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.331009,-0.4363325,-0.1745329
3.833333,-0.0349066,-1.168598,0.1745329,-1.292439,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.33198,-0.4363325,-0.1745329
3.866667,-0.0349066,-1.168598,0.1745329,-1.292067,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.332433,-0.4363325,-0.1745329
3.9,-0.0349066,-1.168598,0.1745329,-1.291785,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.332296,-0.4363325,-0.1745329
3.933333,-0.0349066,-1.168598,0.1745329,-1.291607,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.331503,-0.4363325,-0.1745329
3.966667,-0.0349066,-1.168598,0.1745329,-1.291544,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.329984,-0.4363325,-0.174533
4,-0.0349066,-1.168598,0.1745329,-1.290368,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.327671,-0.4363325,-0.174533
4.033333,-0.0349066,-1.168598,0.1745329,-1.287094,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.324495,-0.4363325,-0.174533
4.066667,-0.0349066,-1.168598,0.1745329,-1.282104,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.319641,-0.4363324,-0.174533
4.1,-0.0349066,-1.168598,0.1745329,-1.275779,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.312743,-0.4363324,-0.174533
4.133333,-0.0349066,-1.168598,0.1745329,-1.2685,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.304406,-0.4363324,-0.174533
4.166667,-0.0349066,-1.168598,0.1745329,-1.260649,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.295237,-0.4363324,-0.174533
4.2,-0.0349066,-1.168598,0.1745329,-1.252607,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.285843,-0.4363324,-0.174533
4.233333,-0.03490661,-1.168598,0.1745329,-1.244757,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.276831,-0.4363324,-0.174533
4.266667,-0.03490661,-1.168598,0.1745329,-1.23748,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.268807,-0.4363324,-0.174533
4.3,-0.03490661,-1.168598,0.1745329,-1.231158,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.262379,-0.4363323,-0.174533
4.333333,-0.03490661,-1.168598,0.1745329,-1.226172,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.258151,-0.4363323,-0.174533
4.366667,-0.03490661,-1.168598,0.1745329,-1.222904,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.256732,-0.4363323,-0.174533
4.4,-0.03490661,-1.168598,0.1745329,-1.221735,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.257024,-0.4363323,-0.174533
4.433333,-0.03490661,-1.168598,0.1745329,-1.221716,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.257522,-0.4363323,-0.174533
4.466667,-0.03490661,-1.168598,0.1745329,-1.221648,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.258212,-0.4363323,-0.174533
4.5,-0.03490661,-1.168598,0.1745329,-1.221542,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.259083,-0.4363323,-0.174533
4.533333,-0.0349066,-1.168598,0.1745329,-1.221404,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.260121,-0.4363323,-0.1745329
4.566667,-0.0349066,-1.168598,0.1745329,-1.221243,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.261316,-0.4363323,-0.1745329
4.6,-0.0349066,-1.168598,0.1745329,-1.221067,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.262655,-0.4363323,-0.1745329
4.633333,-0.0349066,-1.168598,0.1745329,-1.220885,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.264125,-0.4363322,-0.1745329
4.666667,-0.0349066,-1.168598,0.1745329,-1.220704,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.265714,-0.4363322,-0.1745329
4.7,-0.0349066,-1.168598,0.1745329,-1.220533,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.26741,-0.4363322,-0.1745329
4.733333,-0.0349066,-1.168598,0.1745329,-1.220379,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.2692,-0.4363322,-0.1745329
4.766667,-0.0349066,-1.168598,0.1745329,-1.220252,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.271073,-0.4363322,-0.1745329
4.8,-0.0349066,-1.168598,0.1745329,-1.22016,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.273016,-0.4363322,-0.1745329
4.833333,-0.03490659,-1.168598,0.1745329,-1.220109,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.275017,-0.4363321,-0.1745329
4.866667,-0.03490659,-1.168598,0.1745329,-1.22011,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.277063,-0.4363321,-0.1745329
4.9,-0.03490659,-1.168598,0.1745329,-1.220169,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.279143,-0.4363321,-0.1745329
4.933333,-0.03490659,-1.168598,0.1745329,-1.220295,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.281243,-0.4363321,-0.1745329
4.966667,-0.03490658,-1.168598,0.1745329,-1.220497,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726645,-1.283352,-0.4363321,-0.1745329
